player,birthday,year,month,yrs
Dan Anderson,01/01/51,1951,january,2
Chris Anstey,01/01/75,1975,january,3
Jim Browne,01/01/30,1930,january,2
Leroy Combs,01/01/61,1961,january,1
Rick Darnell,01/01/53,1953,january,1
Glen Davis,01/01/86,1986,january,8
Travis Grant,01/01/50,1950,january,4
Jimmy Jones,01/01/45,1945,january,10
Steven Kramer,01/01/45,1945,january,3
Ronnie Lester,01/01/59,1959,january,6
John Logan,01/01/21,1921,january,5
Bones McKinney,01/01/19,1919,january,6
Mike Mitchell,01/01/56,1956,january,10
Larry Nance,01/01/93,1993,january,5
Glen Rice,01/01/91,1991,january,2
Tony Robertson,01/01/56,1956,january,2
Samuel Robinson,01/01/48,1948,january,2
Al Sanders,01/01/50,1950,january,1
Alan Sawyer,01/01/28,1928,january,1
Tiago Splitter,01/01/85,1985,january,7
Jeff Taylor,01/01/60,1960,january,2
Jonah Bolden,02/01/96,1996,january,2
Bob Feerick,02/01/20,1920,january,4
Gerald Govan,02/01/42,1942,january,9
Luke Harangody,02/01/88,1988,january,2
Kirk Hinrich,02/01/81,1981,january,13
Ed Manning,02/01/44,1944,january,9
Randolph Morris,02/01/86,1986,january,4
Mike Newlin,02/01/49,1949,january,11
Irving Thomas,02/01/66,1966,january,1
Chris Welp,02/01/64,1964,january,3
Michael Young,02/01/61,1961,january,3
Jay Edwards,03/01/69,1969,january,1
Tony Farmer,03/01/70,1970,january,2
Rondae Hollis-Jefferson,03/01/95,1995,january,5
Buck Johnson,03/01/64,1964,january,7
Linas Kleiza,03/01/85,1985,january,7
Bobby Lloyd,03/01/46,1946,january,2
Don May,03/01/46,1946,january,7
Doug McDermott,03/01/92,1992,january,6
George McLeod,03/01/31,1931,january,1
Paul Mokeski,03/01/57,1957,january,12
Darius Morris,03/01/91,1991,january,4
Fritz Nagy,03/01/24,1924,january,1
Nikola Peković,03/01/86,1986,january,6
Jake Pelkington,03/01/16,1916,january,1
Melvin Sanders,03/01/81,1981,january,1
Dick Schulz,03/01/17,1917,january,4
Cedric Simmons,03/01/86,1986,january,3
Mel Bennett,04/01/55,1955,january,5
Corie Blount,04/01/69,1969,january,11
Will Bynum,04/01/83,1983,january,8
Fred Cofield,04/01/62,1962,january,2
Terry Crosby,04/01/57,1957,january,1
Sidney Green,04/01/61,1961,january,10
Al Jefferson,04/01/85,1985,january,14
Joe Kleine,04/01/62,1962,january,15
Wayne Kreklow,04/01/57,1957,january,1
Cliff Levingston,04/01/61,1961,january,11
James Michael McAdoo,04/01/93,1993,january,4
Scott Meents,04/01/64,1964,january,2
Jim Rowinski,04/01/61,1961,january,2
Collin Sexton,04/01/99,1999,january,2
Ante Žižić,04/01/97,1997,january,3
Richard Clark,05/01/44,1944,january,2
Walt Davis,05/01/31,1931,january,5
Nate DeLong,05/01/26,1926,january,1
Alex English*,05/01/54,1954,january,15
Butch Graves,05/01/62,1962,january,1
Isaac Humphries,05/01/98,1998,january,1
Jack Kiley,05/01/29,1929,january,2
Eric Mika,05/01/95,1995,january,1
Rick Mount,05/01/47,1947,january,5
George Munroe,05/01/22,1922,january,2
Tony Price,05/01/57,1957,january,1
Miroslav Raduljica,05/01/88,1988,january,2
Malachi Richardson,05/01/96,1996,january,3
Tyler Ulis,05/01/96,1996,january,3
Gilbert Arenas,06/01/82,1982,january,11
Will Barton,06/01/91,1991,january,8
Pat Connaughton,06/01/93,1993,january,5
Paul Grant,06/01/74,1974,january,2
Cecil Hankins,06/01/22,1922,january,2
Sean Kilpatrick,06/01/90,1990,january,4
Duane Klueh,06/01/26,1926,january,2
